age_group,population,,,
0-4,293380,,1,0.011565101
05-Sep,316655,,2,0.011565101
Oct-14,353161,,3,0.011565101
15-19,341432,,4,0.011565101
20-24,327152,,5,0.011565101
25-29,305058,,6,0.012482606
30-34,299273,,7,0.012482606
35-39,338116,,8,0.012482606
40-44,400911,,9,0.012482606
45-49,379855,,10,0.012482606
50-54,345862,,11,0.01392168
55-59,302720,,12,0.01392168
60-64,275276,,13,0.01392168
65-69,240900,,14,0.01392168
70-74,198326,,15,0.01392168
75-79,170713,,16,0.01345932
80-84,98575,,17,0.01345932
85-89,57118,,18,0.01345932
90-94,21864,,19,0.01345932
95-99,6163,,20,0.01345932
100+,1030,,21,0.0128964
,,,22,0.0128964
,,,23,0.0128964
,,,24,0.0128964
,,,25,0.0128964
,,,26,0.01202545
,,,27,0.01202545
,,,28,0.01202545
,,,29,0.01202545
,,,30,0.01202545
,,,31,0.011797404
,,,32,0.011797404
,,,33,0.011797404
,,,34,0.011797404
,,,35,0.011797404
,,,36,0.013328603
,,,37,0.013328603
,,,38,0.013328603
,,,39,0.013328603
,,,40,0.013328603
,,,41,0.015803995
,,,42,0.015803995
,,,43,0.015803995
,,,44,0.015803995
,,,45,0.015803995
,,,46,0.014973963
,,,47,0.014973963
,,,48,0.014973963
,,,49,0.014973963
,,,50,0.014973963
,,,51,0.013633952
,,,52,0.013633952
,,,53,0.013633952
,,,54,0.013633952
,,,55,0.013633952
,,,56,0.011933285
,,,57,0.011933285
,,,58,0.011933285
,,,59,0.011933285
,,,60,0.011933285
,,,61,0.010851437
,,,62,0.010851437
,,,63,0.010851437
,,,64,0.010851437
,,,65,0.010851437
,,,66,0.009496328
,,,67,0.009496328
,,,68,0.009496328
,,,69,0.009496328
,,,70,0.009496328
,,,71,0.007818052
,,,72,0.007818052
,,,73,0.007818052
,,,74,0.007818052
,,,75,0.007818052
,,,76,0.006729542
,,,77,0.006729542
,,,78,0.006729542
,,,79,0.006729542
,,,80,0.006729542
,,,81,0.003885847
,,,82,0.003885847
,,,83,0.003885847
,,,84,0.003885847
,,,85,0.003885847
,,,86,0.002251603
,,,87,0.002251603
,,,88,0.002251603
,,,89,0.002251603
,,,90,0.002251603
,,,91,0.000861883
,,,92,0.000861883
,,,93,0.000861883
,,,94,0.000861883
,,,95,0.000861883
,,,96,0.000242947
,,,97,0.000242947
,,,98,0.000242947
,,,99,0.000242947
,,,100,0.000242947
,,,101,4.06028E-05
,,,102,4.06028E-05
,,,103,4.06028E-05
,,,104,4.06028E-05
,,,105,4.06028E-05
